name,city,country
Conn Field,Southgate,Canada
Spišská Nová Ves Airfield,Spišská Nová Ves,Slovakia
Spray View Airport,Spray View,Zimbabwe
Dean Ranch Airport,Spring Branch,United States
Springdale Airport,Springdale,Canada
Swaids Field,Springfield,United States
Avery County Morrison Field,Spruce Pine,United States
St Clair Regional Airport,St Clair,United States
Alderman Airport,St Clairsville,United States
St Elmo Airport,St Elmo,United States
Cheyenne County Municipal Airport,St Francis,United States
St Louis Metro-East Airport/Shafer Field,St Jacob,United States
St James Municipal Airport,St James,United States
St Marys Airport,St Marys,United States
Saint-Mathieu-de-Laprairie Aerodrome,St-Mathieu-de-Laprairie,Canada
St. André-Avellin Aerodrome,St. Andre Avellin,Canada
St. Andrews Codroy Valley Airport,St. Andrews,Canada
Seighford Glider Field,"Stafford, Staffordshire",United Kingdom
Staňkov Airfield,Staňkov,Czech Republic
Montgomery County Airport,Star,United States
Station Nord Landing Strip,Station Nord,Greenland
Stehekin State Airport,Stehekin,United States
Jefferson County Airpark,Steubenville,United States
Kentmorr Airpark,Stevensville,United States
Stigler Regional Airport,Stigler,United States
Stoney Creek Airport,Stoney Creek,Canada
Stormville Airport,Stormville,United States
Stratford Airport,Stratford,New Zealand
Strathalbyn Airport,Strathalbyn,Australia
Strathaven Airfield,"Strathaven, South Lanarkshire",United Kingdom
Stykkishólmur Airport,Stykkishólmur,Iceland
Sublette Municipal Airport,Sublette,United States
Southland Field,Sulphur,United States
Summerdale Naval Outlying Field,Summerdale,United States
Summerland Key Cove Airport,Summerland Key,United States
Sumter Airport,Sumter,United States
Penfield Airfield,Sunbury,Australia
Vinnu Airfield,Sunndalsøra,Norway
Superior Municipal Airport,Superior,United States
Hawkins County Airport,Surgoinsville,United States
King George Airpark,Surrey,Canada
Sutherland Airport,Sutherland,South Africa
Braxton County Airport,Sutton,United States
Kyjov Airfield,Svatobořice,Czech Republic
Emanuel County Airport,Swainsboro,United States
Swan Hills Airport,Swan Hills,Canada
Swartwater Highway Strip Airport,Swartwater,South Africa
Ross International Airport,Sweetgrass,United States
Hendrik Swellengrebel Airport,Swellendam,South Africa
Phuket Airpark,Talang,Thailand
Trinidad Ramos Valdez Airport,Talpa de Allende,Mexico
Taltheilei Narrows Airport,Taltheilei Narrows,Canada
Tamuín National Airport,Tamuín,Mexico
Aérodrome de Tarbes Laloubère,Tarbes,France
Pittsburgh Northeast Airport,Tarentum,United States
Cibeureum Airport,Tasikmalaya-Java Island,Indonesia
Tatuí Airport,Tatuí,Brazil
Te Kowhai Airfield,Te Kowhai,New Zealand
Teague Municipal Airport,Teague,United States
Tecumseh Municipal Airport,Tecumseh,United States
Tekamah Municipal Airport,Tekamah,United States
Willard Field,Tekoa,United States
La Pochoteca Airport,Tepic,Mexico
Axel Glidersite,Terneuzen,Netherlands
"Aviosuperficie ""Alvaro Leonardi""",Terni,Italy
Terrace Bay Airport,Terrace Bay,Namibia
Thayer Memorial Airport,Thayer,United States
The Sea Ranch Airport,The Sea Ranch,United States
Bagby Thirsk Airfield,"Thirsk, North Yorkshire",United Kingdom
Chapeskie Field Airport,Thorndale,Canada
Murphy Hot Springs Airport,Three Creek,United States
Tierp Airfield,Tierp,Sweden
Azopardo Airport,Timaukel,Chile
Timmele Airfield,Timmele,Sweden
Tiom Airport,Tiom-Papua Island,Indonesia
Tisdale Airport,Tisdale,Canada
Tofield Airport,Tofield,Canada
Casarrubios Del Monte Airfield,Toledo,Spain
La Mancha-Toledo Airfield,Toledo,Spain
Bloyer Field,Tomah,United States
Tomahawk Regional Airport,Tomahawk,United States
Campo de Voo de Valdonas UL,Tomar,Portugal
Tomelilla Airfield,Tomelilla,Sweden
Torquay Airport,Torquay,Australia
Torres Airport,Torres,Brazil
Río Bravo Airport,Tortel,Chile
Río Pascua Airport,Tortel,Chile
Moulins-Montbeugny Airfield,Toulon-sur-Allier,France
Tower Municipal Airport,Tower,United States
Plan-de-Dieu-Orange Airfield,"Travaillan, Vaucluse",France
Trelew Aeroclub Airport,Trelew,Argentina
Mad River Airpark,Tremont City,United States
Trepell Airport,Trepell,Australia
Tribune Municipal Airport,Tribune,United States
Tropicana Airport,Tropicana Gold Mine,Australia
Truro Flat Airpark,Truro Flat,Australia
Tshipise Airport,Tshipise,South Africa
Harvey Young Airport,Tulsa,United States
Base Aeronaval de Tulum,Tulum,Mexico
Ralph M Sharpe Airport,Tunica,United States
Turlock Airpark,Turlock,United States
Twisp Municipal Airport,Twisp,United States
Rörkärr Airfield,Uddevalla,Sweden
Weimar-Umpferstedt Airfield,Umpferstedt,Germany
Damyns Hall Aerodrome,"Upminster, Greater London",United Kingdom
Weller Airport,Urbana,United States
Useldange Glider Field,Useldange,Luxembourg
Ox Ranch Airport,Uvalde,United States
Aeroclub Valle de Bravo Airport,Valle de Bravo,Mexico
Vanderbijlpark Airport,Vanderbijlpark,South Africa
Calcinate del Pesce Airfield,Varese (VA),Italy
Vashon Municipal Airport,Vashon,United States
Aviosuperficie Alituscia,Vejano (VT),Italy
Sremska Mitrovica / Veliki Radinci Airfield,Veliki Radinci,Serbia
Veranópolis Airport,Veranópolis,Brazil
Vergiate Airfield,Vergiate (VA),Italy
Vernonia Airfield,Vernonia,United States
Dreux Vernouillet Airfield,"Vernouillet, Yvelines",France
Alzate Brianza Airfield,Verzago (CO),Italy
Viborg Airfield,Viborg,Denmark
Osborne Airport,Victorville,United States
Concordia Parish Airport,Vidalia,United States
Videira Airport,Videira,Brazil
Jenkins Airport,Vidor,United States
Leonardo da Vinci Airfield,Vigevano (PV),Italy
Aerodromo do Cerval UL,Vila Nova de Cerveira,Portugal
Villa O'Higgins Airport,Villa O'Higgins,Chile
Laguna Redonda Airport,Villa O'Higgins,Chile
Tapa Chicamocha Airport,Villavicencio,Colombia
Vivian Airport,Vivian,United States
Vogtareuth Airfield,Vogtareuth,Germany
Vallegaffaro Airfield,Volano (FE),Italy
Vryheid Airport,Vryheid,South Africa
Wings For Christ International Flight Academy Airport,Waco,United States
Anson County Airport - Jeff Cloud Field,Wadesboro,United States
Maranggo Airport,Waha-Tomea Island,Indonesia
Wakonda Beach State Airport,Waldport,United States
Noahs Ark Airport,Waldron,United States
Walldürn Airfield,Walldürn,Germany
Spanish Peaks Airfield,Walsenburg,United States
Baledogle Airfield,Wanlaweyn,Somalia
Warner Airport,Warner,Canada
Cold Meadows US Forest Service Airport,Warren,United States
Waukon Municipal Airport,Waukon,United States
Waunakee Airport,Waunakee,United States
Wautoma Municipal Airport,Wautoma,United States
Wavecrest Airport,Wavecrest,South Africa
Waverly Municipal Airport,Waverly,United States
Waynesboro Municipal Airport,Waynesboro,United States
The Sigurd Anderson Airport,Webster,United States
Voyager Village Airstrip,Webster,United States
Webster City Municipal Airport,Webster City,United States
Ansbach-Petersdorf Airfield,Weihenzell,Germany
Love Field,Weirsdale,United States
Owl Canyon Gliderport,Wellington,United States
Farias Wheel Airport,Wellington,United States
Wells Municipal Airport,Wells,United States
Welsh Airport,Welsh,United States
Spremberg-Welzow Airfield,Welzow,Germany
Paterzell Airfield,Wessobrunn,Germany
West Branch Community Airport,West Branch,United States
Richmond Airport,West Kingston,United States
Wellington Aero Club Airport,West Palm Beach,United States
Mccharen Field,West Point,United States
Alexander Salamon Airport,West Union,United States
Silver West Airport,Westcliffe,United States
Clearview Airpark,Westminster,United States
White Sulphur Springs Airport,White Sulphur Springs,United States
Whittier Airport,Whittier,United States
Wilbur Airport,Wilbur,United States
Willmar Municipal Airport John L Rice Field (1934),Willmar,United States
Willow Airport,Willow,United States
Willow Springs Memorial Airport,Willow Springs,United States
White Wings Airport,Wimberley,United States
Newton Peveril Airfield,"Wimborne, Dorset",United Kingdom
Arens Field,Winamac,United States
Winchester Airport,Winchester,Canada
Winifred Airport,Winifred,United States
Winner Regional Airport,Winner,United States
Winnsboro Municipal Airport,Winnsboro,United States
Winterset Madison County Airport,Winterset,United States
Methow Valley State Airport,Winthrop,United States
Lonesome Pine Airport,Wise,United States
Roosevelt Memorial Airport,Woodbury,United States
Woodie Woodie Airport,Woodie Woodie,Australia
Triple Tree Airport,Woodruff,United States
Toutant Airport,Woodstock,United States
Worcester Glider Airport,Worcester,South Africa
Wynyard / W.B. Needham Field,Wynyard,Canada
Flying M Airport,Yamhill,United States
Yates Center Municipal Airport,Yates Center,United States
Reed Ranch Airport,Yellow Pine,United States
Cougar Mountain Airfield,Yelm,United States
Yeovil/Westland Aerodrome,"Yeovil, Somerset",United Kingdom
White Gum Air Park,York,Australia
Pocklington Airfield,"York, East Riding of Yorkshire",United Kingdom
Rufforth West Airfield,"York, North Yorkshire",United Kingdom
Chapman Ranch Airstrip,Young,United States
Zalaegerszeg Andráshida Airfield,Zalaegerszeg,Hungary
Zama Airport,Zama,Canada
Zama Lake Airport,Zama Lake,Canada
Kerama Airport,Zamami,Japan
Riverside Airport,Zanesville,United States
Zapata County Airport,Zapata,United States
Zapopan Air Force Base,Zapopan,Mexico
Ottawa Executive Airport,Zeeland,United States
Zeerust Airport,Zeerust,South Africa
Orlando North Airpark,Zellwood,United States
Bob White Field,Zellwood,United States
Zielona Góra-Przylep Airfield,Zielona Góra,Poland
Znojmo Airfield,Znojmo,Czech Republic
Ečka Airfield,Zrenjanin,Serbia
Nowy Sącz-Łososina Dolna Airfield,Łososina Dolna,Poland
Masset Seaplane Base,,Canada
Parry Sound Harbour Seaplane Base,,Canada
Penticton Seaplane Base,,Canada
Sault Ste. Marie Seaplane Base,,Canada
Sudbury/Azilda Seaplane Base,,Canada
Winfield (Wood Lake) Seaplane Base,,Canada
Yellowknife Seaplane Base,,Canada
Black Lake Seaplane Base,,Canada
Akiachak Seaplane Base,Akiachak,United States
Campbell Lake Seaplane Base,Anchorage,United States
Angoon Seaplane Base,Angoon,United States
Anvik Seaplane Base,Anvik,United States
Bethel Seaplane Base,Bethel,United States
Sint-Jan General Hospital Heliport,Brugge,Belgium
Cape Pole Seaplane Base,Cape Pole,United States
Bakers Narrows Seaplane Base,Flin Flon,Canada
Folsom Lake Seaplane Base,Folsom,United States
Friday Harbor Seaplane Base,Friday Harbor,United States
Parry Sound/Frying Pan Island-Sans Souci Seaplane Base,Frying Pan Island,Canada
Hay River (District) Heliport,Hay River,Canada
Footner Lake Seaplane Base,High Level,Canada
Lake Brooks Seaplane Base,Katmai National Park,United States
Kelowna (Alpine) Heliport,Kelowna,Canada
Merrimack Valley Seaplane Base,Methuen,United States
Lake Berryessa Seaplane Base,Napa,United States
Air Orlando Heliport,Orlando,United States
Sparrow Lake Seaplane Base,Port Stanton,Canada
RNAS Portland Heliport,Portland,United Kingdom
Will Rogers Wiley Post Memorial Seaplane Base,Renton,United States
Moncton / Salisbury Heliport,Salisbury,Canada
St. John's (Paddys Pond) Seaplane Base,St. John's,Canada
C J.H.L.(Joe) Lecomte) Heliport,Valcartier,Canada
Waikoloa Heliport,Waikoloa Village,United States
Williams Lake Seaplane Base,Williams Lake,Canada
Yuma Regional Medical Center Heliport,Yuma,United States
Alameda Naval Air Station,Alameda,United States
Richards-Gebaur Air Force Base,Belton,United States
"RAAF Williams, Laverton Base",Laverton,Australia
RAF Binbrook,"Market Rasen, Lincolnshire",United Kingdom
Victoria STOLport,Montreal,Canada
Cartierville Airport,Montreal,Canada
Floyd Bennett Field,New York,United States
Mont Tremblant/St-Jovite Heli-Tremblant,,Canada
Berz-Macomb Airport,,United States
Coalinga Airport (1936),,United States
RAF Brawdy,,United Kingdom
København Vandflyveplads,,Denmark
Amchitka West Airfield,Amchitka Island,United States
Balzers Heliport,Balzers,Liechtenstein
Hoover Dam Lodge Heliport,Boulder City,United States
Kilen Seaplane Base,Fornebu,Norway
Fort Resolution Water Aerodrome,Fort Resolution,Canada
Fort Smith Water Aerodrome,Fort Smith,Canada
Fitzgerald Water Aerodrome,Fort Smith,Canada
Greater Southwest International Airport-Amon Carter Field,Fort Worth,United States
Glacier Country Heliport,Franz Josef Glacier,New Zealand
Highwood Livestock Auction Airport,High River,Canada
Canmore/Nakoda Heliport,Kananaskis,Canada
Koltur Heliport,Koltur,Faroe Islands
Kunming Wujiaba International Airport,Kunming,China
Kaanapali Airport,Lahaina,United States
Havasu Airpark,Lake Havasu City,United States
Rotorua Lakes Water Aerodrome,Lake Rotorua,New Zealand
Leiden University Medical Center Heliport,Leiden,Netherlands
Polaris (Little Cornwallis Island) Airport,Little Cornwallis Island,Canada
Tuweep Airport,Littlefield,United States
Sainte-Thérèse Clinic Heliport,Luxembourg,Luxembourg
Norfolk Naval Station Airport,Norfolk,United States
MCOLF Camp Pendleton (Red Beach) Airport,Oceanside,United States
Aerodromo de Pias Longas (Old - Closed),Ourém,Portugal
Pista do Sorraia,Pedrógão Grande,Portugal
Site 8 NOLF,Pensacola,United States
Pista da SAPEC (Santa Catarina),Setúbal,Portugal
Wieringermeer Glidersite,Slootdorp,Netherlands
Lower Delta Seaplane Base,Spanish Fort,United States
Superior Air Helipad,Spata,Greece
Svínoy Heliport,Svínoy,Faroe Islands
Redlands Airfield,"Swindon, Wiltshire",United Kingdom
Untervaz Heliport,Untervaz,Switzerland
Bellows AFS (Bellows Field),Waimanalo,United States
Woss Airport,Woss,Canada
Chengdu Tianfu International Airport,Chengdu (Jianyang),China
Lieutenant Amin Ayub González International Airport,Encarnación,Paraguay
Zhukovsky International Airport,Moscow,Russia
Muan International Airport,Muan (Piseo-ri),South Korea
Suhaj Mubarak International Airport,Suhaj,Egypt
Minsk 1 Airport,Minsk,Belarus
Dhoho International Airport,Kediri,Indonesia
Doctor Luis Maria Argaña International Airport,Mariscal Estigarribia,Paraguay
Johnston Atoll Airport,Johnston Atoll,United States Minor Outlying Islands
Wiluna Airport,,Australia
Lampang Airport,,Thailand
Narathiwat Airport,,Thailand
Sakon Nakhon Airport,,Thailand
Loei Airport,,Thailand
Cunnamulla Airport,,Australia
Lightning Ridge Airport,,Australia
Leinster Airport,,Australia
Quilpie Airport,,Australia
Rurutu Airport,,French Polynesia
Manihi Airport,,French Polynesia
Takapoto Airport,,French Polynesia
Arutua Airport,,French Polynesia
Takaroa Airport,,French Polynesia
Maupiti Airport,,French Polynesia
Mayaguana Airport,Abrahams Bay,Bahamas
Oswaldo Guevara Mujica Airport,Acarigua,Venezuela
Ağrı Airport,Ağrı,Turkey
Al Abraq International Airport,Al Albraq,Libya
Al Ghaydah International Airport,Al Ghaydah,Yemen
Al Wajh Domestic Airport,Al Wajh,Saudi Arabia
Aleknagik / New Airport,Aleknagik,United States
Tokunoshima Airport,Amagi,Japan
Ardabil Airport,Ardabil,Iran
Assab International Airport,Asab,Eritrea
Asosa Airport,Asosa,Ethiopia
Avord (BA 702) Air Base,Avord,France
Bam Airport,Bam,Iran
Bandar Lengeh International Airport,Bandar Lengeh,Iran
Qamdo Bangda Airport,Bangda,China
Yariguíes Airport,Barrancabermeja,Colombia
Batna Mostefa Ben Boulaid Airport,Batna,Algeria
Bayankhongor Airport,Bayankhongor,Mongolia
Vladikavkaz Beslan International Airport,Beslan,Russia
Thangool Airport,Biloela,Australia
Birjand International Airport,Birjand,Iran
Margaret Ekpo International Airport,Calabar,Nigeria
General Francisco Bermúdez Airport,Carúpano,Venezuela
Changuinola Captain Manuel Niño International Airport,Changuinola,Panama
Cheboksary Airport,Cheboksary,Russia
Ulyanovsk East Airport,Cherdakly,Russia
Chifeng Yulong Airport,Chifeng,China
Alonso Valderrama Airport,Chitré,Panama
Las Brujas Airport,Corozal,Colombia
Coto 47 Airport,Corredores,Costa Rica
Deadman's Cay Airport,Deadman's Cay,Bahamas
Deir ez-Zor Airport,Deir ez-Zor,Syria
Dien Bien Phu Airport,Dien Bien Phu,Vietnam
El Arish International Airport,El Arish,Egypt
Ricardo García Posada Airport,El Salvador,Chile
San Tomé Airport,El Tigre,Venezuela
El Yopal Airport,El Yopal,Colombia
Elista Airport,Elista,Russia
Emerald Airport,Emerald,Australia
Fianarantsoa Airport,Fianarantsoa,Madagascar
Mohéli Bandar Es Eslam Airport,Fomboni,Comoros
Gambela Airport,Gambela,Ethiopia
Gaua Island Airport,Gaua Island,Vanuatu
Gemena Airport,Gemena,Democratic Republic of the Congo
Rajah Buayan Air Base,General Santos City,Philippines
Ghadames East Airport,Ghadames,Libya
Gode Airport,Gode,Ethiopia
Yangyang International Airport,Gonghang-ro,South Korea
Hassi R'Mel Airport,Hassi R'Mel,Algeria
Heihe Aihui Airport,Heihe,China
Hengchun Airport,Hengchun,Taiwan
Alferez Fap David Figueroa Fernandini Airport,Huánuco,Peru
Huslia Airport,Huslia,United States
Igarka Airport,Igarka,Russia
Illizi Takhamalt Airport,Illizi,Algeria
Zarzaitine - In Aménas Airport,In Aménas,Algeria
San Luis Airport,Ipiales,Colombia
Matari Airport,Isiro,Democratic Republic of the Congo
Jimma Airport,Jimma,Ethiopia
Jwaneng Airport,Jwaneng,Botswana
Kamembe Airport,Kamembe,Rwanda
Kashgar Airport,Kashgar,China
Kassala Airport,Kassala,Sudan
Kengtung Airport,Kengtung,Myanmar
Khasab Airport,Khasab,Oman
Khatanga Airport,Khatanga,Russia
Khujand Airport,Khujand,Tajikistan
Kikwit Airport,Kikwit,Democratic Republic of the Congo
King Khaled Military City Airport,King Khaled Military City,Saudi Arabia
Kogalym International Airport,Kogalym,Russia
